id,c_id,date
110,977,2020.09.17
70,1428,2020.09.18
202,877,2020.09.19
202,295,2020.09.20
194,933,2020.09.21
241,1001,2020.09.21
196,1403,2020.09.21
193,1403,2020.09.21
100,301,2020.09.22
194,240,2020.09.23
77,241,2020.09.23
249,1074,2020.09.23
244,1074,2020.09.23
96,1074,2020.09.23
135,137,2020.09.24
194,500,2020.09.24
135,186,2020.09.30
249,1027,2020.09.30
194,990,2020.10.05
147,1000,2020.10.05
194,442,2020.10.07
93,442,2020.10.07
254,442,2020.10.07
77,442,2020.10.07
66,442,2020.10.07
135,527,2020.10.07
249,1383,2020.10.07
241,990,2020.10.08
76,990,2020.10.08
198,649,2020.10.13
208,290,2020.10.14
226,324,2020.10.14
147,324,2020.10.14
100,455,2020.10.14
198,867,2020.10.14
257,990,2020.10.15
225,1000,2020.10.15
135,293,2020.10.16
77,824,2020.10.17
81,960,2020.10.22
151,264,2020.10.23
231,278,2020.10.23
86,270,2020.10.25
82,270,2020.10.25
117,721,2020.10.26
240,990,2020.10.27
133,1155,2020.11.01
198,1155,2020.11.01
77,1389,2020.11.03
135,899,2020.11.04
77,1148,2020.11.05
70,1148,2020.11.05
227,1383,2020.11.05
254,242,2020.11.07
89,496,2020.11.08
89,202,2020.11.09
162,455,2020.11.09
70,649,2020.11.09
111,724,2020.11.09
182,724,2020.11.09
253,1383,2020.11.09
194,209,2020.11.11
226,217,2020.11.11
113,982,2020.11.11
275,1165,2020.11.11
276,281,2020.11.12
70,982,2020.11.13
241,1001,2020.11.13
257,1064,2020.11.13
123,272,2020.11.15
241,982,2020.11.15
240,982,2020.11.15
70,1420,2020.11.15
135,492,2020.11.16
120,496,2020.11.16
224,526,2020.11.16
90,877,2020.11.16
142,281,2020.11.17
281,455,2020.11.18
280,455,2020.11.18
76,212,2020.11.19
240,1092,2020.11.19
257,267,2020.11.20
93,137,2020.11.21
95,137,2020.11.21
194,933,2020.11.22
135,1252,2020.11.22
151,267,2020.11.23
76,267,2020.11.23
82,442,2020.11.23
75,796,2020.11.23
66,796,2020.11.23
77,442,2020.11.24
222,442,2020.11.24
222,1045,2020.11.24
93,870,2020.11.25
75,188,2020.11.26
133,522,2020.11.26
151,522,2020.11.26
241,891,2020.11.27
240,891,2020.11.27
257,891,2020.11.27
77,891,2020.11.27
70,891,2020.11.27
66,368,2020.11.28
240,954,2020.11.29
275,1165,2020.11.30
77,511,2020.12.01
277,1024,2020.12.02
224,1024,2020.12.02
75,1123,2020.12.02
66,1123,2020.12.02
97,264,2020.12.03
198,281,2020.12.03
244,281,2020.12.03
72,649,2020.12.03
65,1137,2020.12.03
147,1137,2020.12.03
76,1137,2020.12.03
194,278,2020.12.04
190,263,2020.12.07
196,263,2020.12.07
257,817,2020.12.07
76,817,2020.12.07
241,240,2020.12.09
240,240,2020.12.09
196,240,2020.12.09
193,240,2020.12.09
133,870,2020.12.09
194,1000,2020.12.09
77,1000,2020.12.09
77,1000,2020.12.10
202,287,2020.12.11
87,1068,2020.12.11
225,1068,2020.12.11
194,1068,2020.12.11
294,261,2020.12.12
65,796,2020.12.12
106,648,2020.12.13
202,870,2020.12.13
224,870,2020.12.13
254,277,2020.12.14
70,277,2020.12.14
80,281,2020.12.14
82,281,2020.12.14
231,1068,2020.12.14
240,248,2020.12.15
231,248,2020.12.15
278,649,2020.12.15
249,1150,2020.12.15
162,1150,2020.12.15
144,1383,2020.12.15
202,937,2020.12.16
202,937,2020.12.16
207,1079,2020.12.16
226,278,2020.12.17
275,281,2020.12.17
254,293,2020.12.17
66,293,2020.12.17
133,995,2020.12.17
275,1377,2020.12.17
133,929,2020.12.18
130,1266,2020.12.18
255,1272,2020.12.18
276,1272,2020.12.18
115,1272,2020.12.18
276,1358,2020.12.18
293,287,2020.12.19
243,350,2020.12.19
133,972,2020.12.19
70,978,2020.12.19
141,1026,2020.12.19
198,1026,2020.12.19
231,1026,2020.12.19
202,1026,2020.12.19
70,1026,2020.12.19
282,281,2020.12.20
66,646,2020.12.20
133,880,2020.12.20
133,1383,2020.12.20
278,442,2020.12.21
231,442,2020.12.21
254,442,2020.12.21
66,442,2020.12.21
276,442,2020.12.21
222,442,2020.12.21
162,922,2020.12.21
254,1059,2020.12.21
70,1059,2020.12.21
194,1131,2020.12.21
76,1131,2020.12.21
133,270,2020.12.22
275,722,2020.12.22
198,722,2020.12.22
193,777,2020.12.22
193,777,2020.12.22
198,817,2020.12.22
257,817,2020.12.22
257,817,2020.12.22
199,817,2020.12.22
197,927,2020.12.22
133,994,2020.12.22
309,276,2020.12.23
200,817,2020.12.23
133,842,2020.12.23
93,1115,2020.12.23
133,1149,2020.12.23
70,274,2020.12.24
276,274,2020.12.24
225,515,2020.12.24
77,601,2020.12.24
72,1026,2020.12.24
255,1125,2020.12.24
253,1125,2020.12.24
282,1377,2020.12.24
190,978,2020.12.25
193,978,2020.12.25
253,1123,2020.12.25
240,995,2020.12.26
241,350,2020.12.27
70,974,2020.12.27
81,974,2020.12.27
294,974,2020.12.27
133,1021,2020.12.27
282,278,2020.12.28
226,278,2020.12.28
254,278,2020.12.28
231,1002,2020.12.28
249,1002,2020.12.28
257,1068,2020.12.28
190,1167,2020.12.28
294,1167,2020.12.28
293,1167,2020.12.28
141,137,2020.12.29
133,137,2020.12.29
133,137,2020.12.29
133,137,2020.12.29
240,143,2020.12.29
96,1125,2020.12.29
