,al_id,u_id,datetime
207,144,29,2022.07.20
208,1217,29,2022.07.20
209,1187,29,2022.02.16
210,1050,29,2022.02.16
211,283,29,2021.08.24
212,151,29,2021.07.06
213,106,29,2022.07.20
214,257,29,2021.04.06
215,194,29,2022.02.16
216,148,29,2022.01.16
217,148,29,2021.12.08
218,202,29,2021.04.06
219,340,29,2021.08.24
220,340,29,2021.08.03
221,1043,29,2022.02.16
222,77,29,2021.11.01
223,77,29,2021.06.18
224,1065,29,2021.12.02
225,70,29,2021.06.18
226,66,29,2022.07.20
227,66,29,2022.01.20
228,1013,29,2021.08.24
229,1124,29,2022.07.20
230,1119,29,2022.01.10
231,1111,29,2022.02.16
232,1098,29,2021.12.02
233,253,29,2021.10.27
234,190,29,2022.02.16
235,1093,30,2022.07.20
236,304,30,2022.07.20
237,1093,31,2022.07.30
238,77,31,2022.07.30
239,70,31,2022.07.30
240,1092,31,2022.04.12
241,1093,32,2022.07.13
242,1051,32,2022.03.13
243,202,32,2021.12.31
244,77,32,2022.03.13
245,1065,32,2021.11.24
246,227,32,2021.11.24
247,1093,33,2021.12.20
248,1093,34,2022.04.16
249,304,34,2022.04.16
250,1093,35,2022.07.07
251,153,35,2022.07.07
252,1093,36,2022.04.15
253,1093,36,2022.04.15
254,1093,36,2022.04.15
255,1093,36,2021.11.16
256,1093,36,2021.11.16
257,282,36,2021.07.22
258,86,36,2021.07.22
259,144,36,2021.07.22
260,208,36,2021.07.22
261,225,36,2021.07.22
262,257,36,2021.03.15
263,194,36,2021.11.18
264,194,36,2021.03.15
265,313,36,2021.07.22
266,93,36,2022.04.15
267,148,36,2022.04.15
268,148,36,2022.04.15
269,202,36,2022.04.15
270,162,36,2021.07.22
271,325,36,2021.03.15
272,70,36,2021.07.22
273,227,36,2021.07.22
274,81,36,2022.04.15
275,1124,36,2022.04.15
276,1111,36,2022.04.15
277,1111,36,2022.04.15
278,1111,36,2022.04.15
279,1060,36,2021.11.18
280,352,36,2021.11.18
281,220,36,2022.04.15
282,82,36,2021.11.18
283,1093,37,2022.05.31
284,1092,37,2022.05.31
285,1093,38,2021.10.16
286,257,38,2021.09.21
287,194,38,2021.10.16
288,1049,38,2021.10.16
289,182,38,2021.10.16
290,1093,39,2022.03.04
291,257,39,2022.02.08
292,257,39,2022.02.08
293,194,39,2022.01.29
294,340,39,2022.02.06
295,1065,39,2021.09.29
296,1216,39,2022.08.12
297,81,39,2022.04.20
298,1094,39,2022.01.29
299,220,39,2022.01.18
300,1093,40,2022.06.23
301,1051,40,2022.07.28
302,257,40,2022.06.23
303,93,40,2022.06.23
304,1190,40,2022.06.23
305,1166,40,2022.05.28
306,1093,41,2022.07.09
307,1092,41,2022.07.09
308,1093,42,2022.04.29
309,153,42,2022.04.29
310,194,42,2021.08.24
311,304,42,2022.04.19
312,303,42,2022.04.19
313,314,42,2022.04.19
314,1107,42,2021.11.19
315,1054,42,2021.11.20
316,77,42,2021.08.24
317,70,42,2022.04.19
318,1094,42,2021.11.05
319,196,42,2021.11.05
320,1093,43,2022.05.03
321,299,43,2022.05.03
