c_id,c_name,id,alname,al_star,date
58,huiyaa7,303,송이주,5,2022.08.06
58,huiyaa7,93,솔송주,5,2022.08.09
58,huiyaa7,70,서울의 밤,4,2022.07.27
59,huj117,1199,표문 막걸리,3.5,2022.05.07
59,huj117,1149,샤토미소 랑 화이트와인 (스위트),4,2022.05.07
60,hyeeock,1198,배금도가 수제 막걸리,5,2022.06.23
60,hyeeock,133,담은,5,2022.07.13
61,ilnero,1203,매화깊은밤,5,2022.06.06
62,ioi,77,매실원주,4,2022.03.18
63,j840428,141,구름을 벗삼아,5,2022.02.03
63,j840428,1012,이도 25%,4.5,2022.02.03
64,janay77,202,겨울소주 25%,3.5,2022.06.15
64,janay77,70,서울의 밤,3,2022.06.15
64,janay77,1105,솔섬 17%,3,2022.06.15
64,janay77,1106,솔섬 25%,3.5,2022.06.15
65,jihyelee03,130,니모메,4.5,2022.04.08
65,jihyelee03,93,솔송주,4.5,2022.04.08
65,jihyelee03,1064,"동백꽃, 제주",4,2022.04.08
65,jihyelee03,224,혼디주,5,2022.04.08
66,juanito,227,진맥소주 40%,5,2022.08.05
67,kjh4737,64,면천 두견주,5,2022.03.03
67,kjh4737,88,택이,5,2022.02.15
67,kjh4737,153,붉은 원숭이,4.5,2022.05.22
67,kjh4737,1169,청비성,4.5,2022.05.24
67,kjh4737,350,동몽,5,2022.02.21
67,kjh4737,145,맑은 문희주,5,2022.03.25
67,kjh4737,208,세종대왕어주 약주,5,2022.01.21
67,kjh4737,87,천비향 약주,5,2022.02.15
67,kjh4737,194,고흥 유자주 8%,5,2022.01.21
67,kjh4737,93,솔송주,4.5,2022.05.24
67,kjh4737,76,홍삼명주,5,2022.01.21
68,kmela,148,우렁이쌀 청주,5,2022.07.06
69,ktw0057,1094,고도리 샤인머스캣 와인 (망고포도),5,2022.01.21
70,kyc3526,194,고흥 유자주 8%,5,2022.02.22
71,lee19,139,오미자 생 막걸리,5,2022.03.13
72,limth27,89,문경바람 오크 40%,5,2022.07.28
73,mepatton,198,술공방 9.0,4,2022.07.02
75,molegeda,198,술공방 9.0,0.5,2022.02.06
76,moontrip79,1099,삼양춘 탁주 라이트,5,2022.02.25
76,moontrip79,72,삼양춘 탁주,5,2022.02.25
76,moontrip79,151,삼양춘 약주,5,2022.02.25
76,moontrip79,231,삼양춘 청주,5,2022.02.25
76,moontrip79,277,애플사이더 헤베,4,2022.06.29
76,moontrip79,112,애피소드 애플,4.5,2022.02.25
77,musiquatro,194,고흥 유자주 8%,4,2022.02.16
78,pang21,1198,배금도가 수제 막걸리,5,2022.05.04
78,pang21,1158,양지백주,5,2022.05.03
78,pang21,1223,상록수 40%,4,2022.05.04
78,pang21,1216,안동 국화주 32%,5,2022.05.02
79,paulkim733,89,문경바람 오크 40%,2.5,2022.04.06
80,peppa,202,겨울소주 25%,5,2022.01.08
80,peppa,1043,만월 24%,4.5,2022.01.08
81,qaz715,65,감사,5,2021.11.18
81,qaz715,67,미르 25%,2,2021.11.18
82,rempi3,225,경성 과하주,5,2022.05.12
82,rempi3,254,꿀샘16,5,2022.05.12
82,rempi3,1214,"유채꽃, 제주",5,2022.05.12
82,rempi3,1111,신애유자,5,2022.05.12
82,rempi3,1064,"동백꽃, 제주",5,2022.05.12
82,rempi3,224,혼디주,5,2022.05.12
83,ringo24,257,토박이 한산 소곡주,4,2022.06.24
83,ringo24,194,고흥 유자주 8%,5,2022.01.24
84,rjthd,64,면천 두견주,5,2022.04.15
85,rkwlskim,194,고흥 유자주 8%,5,2022.03.09
86,sajick,133,담은,5,2022.07.22
87,sekire1,1198,배금도가 수제 막걸리,4,2022.07.11
88,simpson,1092,안동소주 일품 40% 골드,5,2022.02.22
89,slow,1098,부안 해풍 오디주,4,2022.06.05
90,sojjin,202,겨울소주 25%,5,2022.04.21
90,sojjin,70,서울의 밤,5,2022.04.20
91,ssumer,1217,오메기술 13%,5,2022.04.24
91,ssumer,354,금산인삼주 약주,5,2022.07.23
91,ssumer,340,금산인삼주 수삼 23%,5,2022.06.03
91,ssumer,340,금산인삼주 수삼 23%,5,2022.05.18
91,ssumer,340,금산인삼주 수삼 23%,5,2022.05.18
91,ssumer,77,매실원주,5,2022.05.18
91,ssumer,77,매실원주,5,2022.04.24
91,ssumer,1196,장수 오미자주,5,2022.07.20
91,ssumer,219,댄싱파파,5,2022.06.03
91,ssumer,220,스윗마마,5,2022.05.24
92,ssung,1147,보일러 틀어놨어,4.5,2022.01.28
92,ssung,345,려 증류소주 25%,5,2022.01.21
92,ssung,324,려 증류소주 40%,5,2022.01.21
92,ssung,81,추사 40%,5,2022.01.28
92,ssung,1061,시나브로 에뚜왈 로제 스파클링 와인,5,2022.01.28
93,summitb,194,고흥 유자주 8%,5,2022.06.15
93,summitb,1064,"동백꽃, 제주",4,2022.06.17
94,supasami,70,서울의 밤,5,2022.06.24
94,supasami,1092,안동소주 일품 40% 골드,4.5,2022.06.24
95,syaiki,1064,"동백꽃, 제주",5,2021.12.19
96,take,1189,얼떨결에 퍼플,5,2022.07.27
96,take,133,담은,5,2022.07.27
97,ted8210,87,천비향 약주,5,2022.07.08
98,ultravet,1054,만월 40%,4.5,2022.05.11
98,ultravet,1085,밀담 52%,4.5,2022.05.11
98,ultravet,1092,안동소주 일품 40% 골드,5,2022.05.11
99,unamoou,1112,두레앙 22%,4,2022.06.14
100,wayne,1113,두레앙 일반증류주 35%,5,2022.02.09
101,wonghyen,133,담은,4.5,2022.04.08
101,wonghyen,194,고흥 유자주 8%,5,2021.12.17
101,wonghyen,1064,"동백꽃, 제주",5,2021.12.17
102,wtm5451,153,붉은 원숭이,5,2022.06.28
103,yj87,275,문삼이공 잣,5,2021.12.01
104,yomi486,194,고흥 유자주 8%,5,2022.07.19
105,zero,1092,안동소주 일품 40% 골드,5,2022.05.24
105,zero,1092,안동소주 일품 40% 골드,5,2022.05.24
106,가루아빠,1105,솔섬 17%,4,2022.06.10
106,가루아빠,1136,샤토미소 웨딩 자두와인,5,2022.06.10
107,가마,1102,지란지교 무화과 탁주,5,2022.01.06
107,가마,133,담은,5,2022.01.06
107,가마,1037,오메기술 15%,5,2022.01.06
108,가부,254,꿀샘16,5,2022.05.21
109,가비,133,담은,5,2022.02.10
109,가비,133,담은,5,2022.02.08
109,가비,257,토박이 한산 소곡주,5,2022.02.10
110,가야르도,1093,백련 미스티 살균 막걸리,5,2022.04.15
110,가야르도,133,담은,4,2022.04.15
110,가야르도,133,담은,5,2022.02.25
110,가야르도,133,담은,5,2022.02.23
111,가을풍경,1217,오메기술 13%,5,2022.06.22
112,간장게장,133,담은,5,2022.03.14
112,간장게장,194,고흥 유자주 8%,5,2022.04.27
112,간장게장,77,매실원주,5,2022.03.14
112,간장게장,70,서울의 밤,5,2022.03.14
113,갈순,130,니모메,5,2022.07.13
114,감로,1093,백련 미스티 살균 막걸리,5,2022.07.16
114,감로,1092,안동소주 일품 40% 골드,5,2022.07.16
114,감로,1111,신애유자,5,2022.07.16
114,감로,219,댄싱파파,5,2022.07.16
114,감로,220,스윗마마,5,2022.07.16
115,갑선할매,1199,표문 막걸리,4.5,2022.05.24
116,갑식이형님,1074,삼천갑자 동방주,3.5,2022.02.10
117,갓더,202,겨울소주 25%,1.5,2022.05.24
117,갓더,77,매실원주,4.5,2022.05.24
117,갓더,70,서울의 밤,4.5,2022.05.24
117,갓더,224,혼디주,4.5,2022.05.24
118,갓벨,330,264 청포도 와인 꽃 (Medium Sweet),5,2022.03.17
119,강*결,190,고도리 복숭아 와인,4,2019.12.31
120,강*경,139,오미자 생 막걸리,5,2022.02.16
121,강*구,133,담은,4.5,2021.10.12
121,강*구,139,오미자 생 막걸리,4,2020.03.18
121,강*구,313,녹파주,5,2022.03.15
121,강*구,93,솔송주,5,2022.03.15
122,강*균,304,능이주,5,2022.06.17
122,강*균,303,송이주,5,2022.06.17
122,강*균,76,홍삼명주,5,2020.05.17
123,강*기,181,병영소주,3.5,2021.10.26
124,강*묵,194,고흥 유자주 8%,4,2021.07.03
124,강*묵,1094,고도리 샤인머스캣 와인 (망고포도),5,2022.01.12
124,강*묵,190,고도리 복숭아 와인,4.5,2021.07.03
124,강*묵,294,고도리 자두 와인,5,2022.01.12
125,강*민,199,하타,5,2021.08.08
126,강*석,70,서울의 밤,5,2020.08.23
